"","employees","salaries_2017","salary_adjustments","salaries_2018","got_raise"
"1","Employee 1",43742.4693047069,7267.90913031437,51010.3784350213,TRUE
"2","Employee 2",48118.8888917677,3934.66816865839,52053.5570604261,TRUE
"3","Employee 3",48048.7690633163,4931.89658038318,52980.6656436995,TRUE
"4","Employee 4",41100.7887218148,8346.73937526532,49447.5280970801,TRUE
"5","Employee 5",46148.5854000784,-4361.27190478146,41787.313495297,FALSE
"6","Employee 6",48481.1222855933,7077.83301942982,55558.9553050231,TRUE
"7","Employee 7",47490.1297967881,23.5693901777267,47513.6991869658,TRUE
"8","Employee 8",44230.296802707,-4672.58001444861,39557.7167882584,FALSE
"9","Employee 9",41512.8178684972,7596.03373706341,49108.8516055606,TRUE
"10","Employee 10",43698.4194535762,5287.44187089615,48985.8613244724,TRUE
"11","Employee 11",45050.3014586866,3527.3464792408,48577.6479379274,TRUE
"12","Employee 12",49215.8668325283,4772.8319989983,53988.6988315266,TRUE
"13","Employee 13",49704.1938849725,3476.6707289964,53180.8646139689,TRUE
"14","Employee 14",45737.8309615888,7318.11475008726,53055.945711676,TRUE
"15","Employee 15",44661.5621563978,-1606.29362333566,43055.2685330622,FALSE
"16","Employee 16",45048.0284146033,9970.19262169488,55018.2210362982,TRUE
"17","Employee 17",42217.4288146198,-951.571592595428,41265.8572220244,FALSE
"18","Employee 18",42753.3133607358,4658.18368480541,47411.4970455412,TRUE
"19","Employee 19",44733.5821716115,5951.26177649945,50684.8439481109,TRUE
"20","Employee 20",42299.9336640351,7984.44365966134,50284.3773236964,TRUE
"21","Employee 21",44139.2486775294,6423.03575761616,50562.2844351456,TRUE
"22","Employee 22",44688.9956993982,7448.90054338612,52137.8962427843,TRUE
"23","Employee 23",44252.7539515868,-1461.9856653735,42790.7682862133,FALSE
"24","Employee 24",43269.7982643731,2101.94234969094,45371.740614064,TRUE
"25","Employee 25",48040.4678219929,2524.71897285432,50565.1867948472,TRUE
"26","Employee 26",47030.7473209687,1444.03277896345,48474.7800999321,TRUE
"27","Employee 27",47934.9459405057,2957.51522528008,50892.4611657858,TRUE
"28","Employee 28",47051.3563160785,-4724.03731429949,42327.319001779,FALSE
"29","Employee 29",46782.1894120425,2296.52313631959,49078.7125483621,TRUE
"30","Employee 30",40383.8612791151,5409.29933427833,45793.1606133934,TRUE
"31","Employee 31",41313.7718709186,9718.542721821,51032.3145927396,TRUE
"32","Employee 32",46934.0784917586,-3369.38654771075,43564.6919440478,FALSE
"33","Employee 33",47031.4048393629,7301.88411660492,54333.2889559679,TRUE
"34","Employee 34",42338.8601280749,7113.0944986362,49451.9546267111,TRUE
"35","Employee 35",48067.103929352,3828.64185376093,51895.7457831129,TRUE
"36","Employee 36",41669.0110787749,-4598.00213226117,37071.0089465138,FALSE
"37","Employee 37",41537.796810735,1629.98717976734,43167.7839905024,TRUE
"38","Employee 38",43547.1299453638,-3155.62479547225,40391.5051498916,FALSE
"39","Employee 39",43966.5231714025,1097.68891474232,45064.2120861448,TRUE
"40","Employee 40",46717.4670379609,9018.69877940044,55736.1658173613,TRUE
"41","Employee 41",45814.1846838407,7007.03229522333,52821.216979064,TRUE
"42","Employee 42",44999.7991858982,-2244.98835508712,42754.810830811,FALSE
"43","Employee 43",49606.0629491694,-2696.29954709671,46909.7634020727,FALSE
"44","Employee 44",41201.2116378173,-3758.05644202046,37443.1551957969,FALSE
"45","Employee 45",45369.1268130206,2846.23018815182,48215.3570011724,TRUE
"46","Employee 46",42376.8975283019,4067.61574209668,46444.5132703986,TRUE
"47","Employee 47",45798.4467432834,-2098.40698749758,43700.0397557858,FALSE
"48","Employee 48",40186.902419664,4404.63946084492,44591.5418805089,TRUE
"49","Employee 49",46416.9748476706,-3299.25780068152,43117.7170469891,FALSE
"50","Employee 50",42745.0901595876,2667.22592175938,45412.3160813469,TRUE
"51","Employee 51",44140.5918356031,3723.01547089592,47863.607306499,TRUE
"52","Employee 52",40282.8654507175,-4613.15505555831,35669.7103951592,FALSE
"53","Employee 53",42002.8876163997,973.432610044256,42976.3202264439,TRUE
"54","Employee 54",46826.6778951511,2731.79421201348,49558.4721071646,TRUE
"55","Employee 55",47320.7048117183,4719.55094020814,52040.2557519265,TRUE
"56","Employee 56",40597.0450444147,6520.65781760029,47117.702862015,TRUE
"57","Employee 57",47525.5369720981,-3639.57542227581,43885.9615498222,FALSE
"58","Employee 58",47382.5198668055,-2343.5073136352,45039.0125531703,FALSE
"59","Employee 59",45841.1839581095,6885.46716817655,52726.651126286,TRUE
"60","Employee 60",49408.6517742835,-505.282812518999,48903.3689617645,FALSE
"61","Employee 61",45290.184118785,2932.97049822286,48223.1546170078,TRUE
"62","Employee 62",46467.7902823314,-2687.23640125245,43780.553881079,FALSE
"63","Employee 63",41094.0591967665,3609.96119910851,44704.020395875,TRUE
"64","Employee 64",44436.1314293928,991.154565708712,45427.2859951016,TRUE
"65","Employee 65",44935.144984629,-2654.4219662901,42280.7230183389,FALSE
"66","Employee 66",41560.2180897258,1625.36878953688,43185.5868792627,TRUE
"67","Employee 67",42707.4566343799,-4720.23641807027,37987.2202163097,FALSE
"68","Employee 68",49766.4952324703,1400.51521244459,51167.0104449149,TRUE
"69","Employee 69",43147.1905787475,785.927043762058,43933.1176225096,TRUE
"70","Employee 70",45559.0024846606,-4372.2986720968,41186.7038125638,FALSE
"71","Employee 71",49739.2619890161,4689.35263343155,54428.6146224476,TRUE
"72","Employee 72",41186.1631181091,5818.40236322023,47004.5654813293,TRUE
"73","Employee 73",46732.3802923784,8659.12812529132,55391.5084176697,TRUE
"74","Employee 74",40828.9821166545,5667.81666013412,46496.7987767886,TRUE
"75","Employee 75",49124.3504150771,4922.25715424865,54046.6075693257,TRUE
"76","Employee 76",44948.2391518541,5207.50023075379,50155.7393826079,TRUE
"77","Employee 77",47167.9485356435,5616.63457308896,52784.5831087325,TRUE
"78","Employee 78",47859.5368890092,3794.87600992434,51654.4128989335,TRUE
"79","Employee 79",48277.3283077404,-3792.25844866596,44485.0698590744,FALSE
"80","Employee 80",42371.2981678545,-630.523365689442,41740.7748021651,FALSE
"81","Employee 81",40553.8653326221,447.593268472701,41001.4586010948,TRUE
"82","Employee 82",44899.9197944067,5127.84613179974,50027.7659262065,TRUE
"83","Employee 83",48979.6734880656,-26.9732938613743,48952.7001942042,FALSE
"84","Employee 84",48448.8831972703,-775.84526501596,47673.0379322544,FALSE
"85","Employee 85",46977.4514460005,2791.62621707655,49769.077663077,TRUE
"86","Employee 86",42203.6900301464,3014.57000896335,45218.2600391097,TRUE
"87","Employee 87",45635.034001898,258.162756217644,45893.1967581157,TRUE
"88","Employee 88",42669.044630602,5294.83752441593,47963.8821550179,TRUE
"89","Employee 89",43207.1809773333,-3917.46834153309,39289.7126358002,FALSE
"90","Employee 90",40775.0159990974,6033.90339529142,46808.9193943888,TRUE
"91","Employee 91",46177.6227573864,3607.3890235275,49785.0117809139,TRUE
"92","Employee 92",42046.3548717089,2967.11260918528,45013.4674808942,TRUE
"93","Employee 93",45675.7387984544,9049.28260832094,54725.0214067753,TRUE
"94","Employee 94",49293.2264204137,-4862.25048312917,44430.9759372845,FALSE
"95","Employee 95",49904.1585903615,-1168.90497505665,48735.2536153048,FALSE
"96","Employee 96",41056.9875407964,-844.553649658337,40212.4338911381,FALSE
"97","Employee 97",49840.1796841063,2465.43093933724,52305.6106234435,TRUE
"98","Employee 98",47032.1294735186,4772.06179988571,51804.1912734043,TRUE
"99","Employee 99",46643.0981829762,-951.805870281532,45691.2923126947,FALSE
"100","Employee 100",46878.5633146763,-4953.70236574672,41924.8609489296,FALSE
